"Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG"
"NYM","902","2023","2279","551","352","106","7","86","286","278","197","8","498","45","13","1","53","20","10",".272"
"ATL","900","2074","2344","556","320","130","3","103","348","338","239","13","573","23","7","1","39","23","4",".268"
"BOS","884","2083","2304","552","346","118","7","81","292","278","187","8","545","21","9","4","51","31","9",".265"
"WSN","870","1968","2218","519","329","112","12","66","293","279","192","16","451","32","21","5","42","33","12",".264"
"SFG","974","2019","2259","532","330","107","14","81","299","290","195","8","499","27","13","4","51","19","8",".263"
"CHW","889","2047","2267","534","338","94","6","96","306","294","179","1","571","24","13","1","44","20","8",".261"
"BAL","906","2026","2242","523","337","102","7","77","274","264","164","5","514","27","10","15","32","19","14",".258"
"COL","888","2057","2257","528","365","84","16","63","275","264","161","12","543","10","19","7","41","42","9",".257"
"PHI","875","1948","2223","500","318","90","10","82","306","289","229","16","480","28","10","8","40","35","8",".257"
"SDP","913","1972","2231","506","296","103","12","95","325","312","204","6","479","28","14","12","37","55","13",".257"
"LAD","921","2042","2316","523","302","97","6","118","349","327","228","7","471","30","12","3","46","29","8",".256"
"TOR","910","2023","2263","516","320","104","4","88","302","288","203","4","508","12","14","8","39","33","6",".255"
"LAA","890","2020","2308","501","311","97","8","85","294","285","239","8","490","25","18","6","49","21","8",".248"
"NYY","878","1915","2210","473","285","87","7","94","315","301","251","5","480","30","11","1","51","27","7",".247"
"DET","882","1893","2076","463","311","78","12","62","249","242","147","1","567","19","14","1","42","19","6",".245"
"KCR","940","1988","2200","485","313","97","7","68","248","237","172","3","527","18","10","8","28","49","20",".244"
"MIA","904","1935","2167","472","325","82","5","60","263","247","191","6","537","25","9","6","37","51","14",".244"
"MIN","882","1937","2168","468","293","81","3","91","269","258","186","9","528","29","14","2","38","14","7",".242"
"ARI","862","1997","2238","482","311","101","12","58","269","255","181","5","461","36","23","1","37","23","7",".241"
"HOU","860","1992","2229","478","294","103","12","69","279","268","192","5","440","23","13","6","39","22","11",".240"
"TBR","946","1975","2261","470","273","105","12","80","289","274","243","9","608","28","14","0","38","48","9",".238"
"STL","827","1752","2011","410","279","73","7","51","240","231","205","3","477","33","16","4","38","18","10",".234"
"CLE","869","1959","2247","446","286","96","5","59","248","234","239","4","517","24","16","7","40","25","10",".228"
"SEA","843","1929","2181","435","282","88","5","60","254","244","207","5","545","30","12","3","35","50","16",".226"
"OAK","865","1908","2201","430","257","91","11","71","274","264","238","5","524","39","14","2","44","26","3",".225"
"MIL","906","1920","2188","429","266","83","5","75","247","238","221","8","582","35","10","0","53","15","11",".223"
"CHC","908","1918","2214","422","258","82","8","74","265","248","229","9","568","52","13","1","42","24","10",".220"
"PIT","873","1932","2134","425","284","76","6","59","219","210","167","6","521","11","15","7","34","16","11",".220"
"TEX","865","1936","2147","420","269","80","9","62","224","204","167","3","548","24","18","2","33","49","14",".217"
"CIN","889","1842","2123","390","221","76","3","90","243","237","239","4","534","33","7","0","44","29","9",".212"
