Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Yasiel Puig 푸이그","Heroes (KBO)",31,64,237,271,55,32,15,0,8,33,32,27,1,55,6,1,0,3,5,0,0.23206751,"14225"
"ByungHo Park 박병호","Wiz (KBO)",35,70,257,285,64,30,11,0,23,40,59,19,1,84,7,2,0,5,3,0,0.24902724,"18497"
"Hyun Soo Kim 김현수","Twins (KBO)",34,72,279,313,82,52,15,1,14,47,57,30,5,32,4,0,0,4,2,1,0.29390681,"18718"
"Dae-Ho Lee 이대호","Giants (KBO)",40,70,267,290,94,73,12,0,9,27,40,18,3,28,1,4,0,10,0,0,0.35205993,"18722"
"José Miguel Fernández 페르난데스","Bears (KBO)",34,69,276,304,84,62,16,0,6,35,47,23,0,27,2,3,0,21,0,0,0.30434783,"19254"
"DJ Peters 피터스","Giants (KBO)",26,72,271,304,58,33,14,0,11,27,42,22,1,69,7,4,0,4,5,4,0.21402214,"19348"
"Jae-Gyun Hwang 황재균","Wiz (KBO)",34,70,259,293,67,48,14,1,4,27,31,30,2,46,1,1,2,8,5,2,0.25868726,"19369"
"Shin-Soo Choo 추신수","Landers (KBO)",39,64,229,286,60,43,11,0,6,45,31,47,1,55,9,1,0,4,7,3,0.26200873,"3174"
"Kang-nam Yoo 유강남","Twins (KBO)",29,70,222,253,54,42,10,0,2,33,23,24,1,53,4,1,2,5,0,0,0.24324324,"kr3012221"
"Ji-hyuk Ryu 류지혁","Tigers (KBO)",28,63,198,233,56,44,10,0,2,31,24,29,0,41,3,2,1,5,3,1,0.28282828,"kr3012288"
"Sei-hyok Park 박세혁","Bears (KBO)",32,66,190,224,42,32,10,0,0,16,26,21,0,30,4,4,5,2,0,1,0.22105263,"kr3012290"
"Hae-min Park 박해민","Twins (KBO)",32,73,277,320,79,66,8,3,2,47,27,29,0,40,5,3,6,3,15,3,0.28519856,"kr3012304"
"Ju-suk Ha 하주석","Eagles (KBO)",28,60,202,222,43,33,7,0,3,23,31,16,1,62,2,2,0,2,10,4,0.21287129,"kr3012320"
"Yoo-seom Han 한유섬","Landers (KBO)",32,70,249,288,71,39,21,1,10,35,61,29,6,72,8,2,0,2,1,0,0.28514056,"kr3012336"
"Min-woo Park 박민우","Dinos (KBO)",29,44,177,196,41,28,12,0,1,17,12,14,2,25,3,1,1,3,6,2,0.23163842,"kr3012337"
"Sung-bum Na 나성범","Tigers (KBO)",32,72,274,326,84,51,22,1,10,45,48,39,1,69,10,3,0,3,4,0,0.30656934,"kr3012352"
"Seung-ho Kang 강승호","Bears (KBO)",28,69,240,262,58,44,11,0,3,29,34,14,0,51,1,3,4,4,7,2,0.24166667,"kr3012361"
"Min-hyuck Kim 김민혁","Wiz (KBO)",26,67,218,254,57,52,4,1,0,30,23,23,0,36,1,3,9,5,3,4,0.26146789,"kr3012419"
"Woo-jun Shim 심우준","Wiz (KBO)",27,68,192,222,48,42,3,2,1,31,12,21,0,35,1,2,6,6,11,2,0.25,"kr3012420"
